Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:27
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP   sigma_xx   sigma_yy     tau_xy 
Units                    MPa        MPa        MPa 
    1    89     4  1.4146209 -0.0132092  0.0057551 
    1    90     1  1.4055573 -0.0173068  0.0084065 
    1    90     2  1.4044245 -0.0157691  0.0046263 
    1    90     3  1.4164593 -0.0137943  0.0072023 
    1    90     4  1.4154950 -0.0121412  0.0032781 
    1    91     1  1.3942196 -0.0141431  0.0048769 
    1    91     2  1.3808294 -0.0182619  0.0040147 
    1    91     3  1.3943563 -0.0153536  0.0002454 
    1    91     4  1.3827888 -0.0188157 -0.0001439 
    1    92     1  1.3956719 -0.0156339 -0.0007830 
    1    92     2  1.3956172 -0.0145736  0.0026566 
    1    92     3  1.3859745 -0.0186457 -0.0015177 
    1    92     4  1.3854439 -0.0176556  0.0021337 
    1    93     1  1.4020057 -0.0168109 -0.0013383 
    1    93     2  1.4131359 -0.0134732 -0.0012844 
    1    93     3  1.4018572 -0.0166435  0.0026931 
    1    93     4  1.4132294 -0.0132322  0.0027666 
    1    94     1  1.4021117 -0.0168164  0.0047166 
    1    94     2  1.4020390 -0.0162315  0.0007117 
    1    94     3  1.4134914 -0.0133916  0.0044119 
    1    94     4  1.4133110 -0.0128223  0.0003001 
    1    95     1  1.4340739 -0.0120315  0.0066496 
    1    95     2  1.4235612 -0.0153486  0.0076126 
    1    95     3  1.4332318 -0.0108349  0.0028329 
    1    95     4  1.4226414 -0.0142269  0.0039373 
    1    96     1  1.4319428 -0.0112446  0.0014818 
    1    96     2  1.4325079 -0.0118835  0.0054458 
    1    96     3  1.4210217 -0.0145950  0.0021450 
    1    96     4  1.4216400 -0.0151961  0.0059998 
    1    97     1  1.4387253 -0.0132277  0.0019019 
    1    97     2  1.4493877 -0.0099802  0.0013701 
    1    97     3  1.4392398 -0.0137014  0.0056570 
    1    97     4  1.4497995 -0.0105003  0.0052211 
    1    98     1  1.4407895 -0.0137991  0.0070725 
    1    98     2  1.4400238 -0.0129417  0.0035067 
    1    98     3  1.4509418 -0.0106468  0.0063080 
    1    98     4  1.4503367 -0.0097023  0.0026070 
    1    99     1  1.4315502 -0.0118512  0.0041579 
    1    99     2  1.4205002 -0.0151795  0.0044441 
    1    99     3  1.4312723 -0.0114771  0.0001444 
    1    99     4  1.4202371 -0.0148097  0.0005078 
    1   100     1  1.4310473 -0.0117367 -0.0012624 
    1   100     2  1.4311123 -0.0118945  0.0027490 
    1   100     3  1.4200101 -0.0150509 -0.0011270 
    1   100     4  1.4200657 -0.0152092  0.0028334 
    1   101     1  1.4378045 -0.0136198 -0.0011898 
    1   101     2  1.4486887 -0.0103532 -0.0012808 
    1   101     3  1.4378898 -0.0136938  0.0027321 
    1   101     4  1.4487591 -0.0104328  0.0026805 
    1   102     1  1.4383221 -0.0136947  0.0042184 
    1   102     2  1.4380336 -0.0134571  0.0003524 
    1   102     3  1.4491035 -0.0104529  0.0040078 
    1   102     4  1.4488697 -0.0101938  0.0000811 
    1   103     1  1.4671890 -0.0092466  0.0061431 
    1   103     2  1.4573146 -0.0122503  0.0066163 
    1   103     3  1.4668801 -0.0086168  0.0025784 
    1   103     4  1.4567893 -0.0117114  0.0031860 
    1   104     1  1.4663558 -0.0089264  0.0013962 
    1   104     2  1.4666434 -0.0090583  0.0051369 
    1   104     3  1.4558958 -0.0120727  0.0016217 
    1   104     4  1.4563238 -0.0121579  0.0052841 
    1   105     1  1.4727349 -0.0113744  0.0012142 
    1   105     2  1.4833348 -0.0081661  0.0016327 
    1   105     3  1.4732051 -0.0105327  0.0049697 
    1   105     4  1.4836284 -0.0073804  0.0053675 
    1   106     1  1.4731794 -0.0106222  0.0059364 
    1   106     2  1.4729358 -0.0104591  0.0028217 
    1   106     3  1.4829136 -0.0077070  0.0059028 
    1   106     4  1.4828981 -0.0074583  0.0025592 
    1   107     1  1.4734598 -0.0099991  0.0043793 
    1   107     2  1.4829329 -0.0069727  0.0034105 
    1   107     3  1.4735030 -0.0110772  0.0073878 
    1   107     4  1.4826705 -0.0082200  0.0066479 
    1   108     1  1.4740305 -0.0118563  0.0084736 
    1   108     2  1.4742007 -0.0099806  0.0048542 
    1   108     3  1.4830694 -0.0088960  0.0073734 
    1   108     4  1.4835381 -0.0070189  0.0039082 
    1   109     1  1.4685923 -0.0095690  0.0079195 
    1   109     2  1.4601539 -0.0123038  0.0088817 
    1   109     3  1.4684211 -0.0081351  0.0047968 
    1   109     4  1.4594765 -0.0110048  0.0057551 
    1   110     1  1.4676605 -0.0082079  0.0037030 
    1   110     2  1.4678977 -0.0095312  0.0070323 
    1   110     3  1.4581923 -0.0112450  0.0047021 
    1   110     4  1.4587842 -0.0124195  0.0079100 
    1   111     1  1.4423385 -0.0124176  0.0053076 
    1   111     2  1.4518118 -0.0091818  0.0038983 
    1   111     3  1.4433575 -0.0138685  0.0084847 
    1   111     4  1.4525712 -0.0108188  0.0072943 
    1   112     1  1.4475774 -0.0138132  0.0096141 
    1   112     2  1.4463290 -0.0116736  0.0073817 
    1   112     3  1.4545352 -0.0111055  0.0080844 
    1   112     4  1.4539844 -0.0085822  0.0055914 
    1   113     1  1.4396754 -0.0117150  0.0085525 
    1   113     2  1.4313147 -0.0153707  0.0107978 
    1   113     3  1.4379478 -0.0082641  0.0057295 
    1   113     4  1.4299825 -0.0125150  0.0084688 
    1   114     1  1.4352469 -0.0103043  0.0040487 
    1   114     2  1.4365446 -0.0120411  0.0077069 
    1   114     3  1.4250011 -0.0138444  0.0056427 
    1   114     4  1.4263124 -0.0154814  0.0091308 
    1   115     1  1.4448263 -0.0080835  0.0089344 
    1   115     2  1.4430197 -0.0128317  0.0075522 
    1   115     3  1.4436872 -0.0130162  0.0097677 
    1   115     4  1.4426438 -0.0152322  0.0085067 
    1   116     1  1.4481735 -0.0120868  0.0077536 
    1   116     2  1.4560363 -0.0095152  0.0067266 
    1   116     3  1.4501767 -0.0132727  0.0101388 
    1   116     4  1.4564470 -0.0109851  0.0089793 
    1   117     1  1.4485249 -0.0120773  0.0097821 
    1   117     2  1.4501792 -0.0126860  0.0072294 
    1   117     3  1.4561935 -0.0097362  0.0103071 
    1   117     4  1.4564550 -0.0106195  0.0080195 
    1   118     1  1.4688057 -0.0091283  0.0103484 
    1   118     2  1.4606090 -0.0115878  0.0102971 
    1   118     3  1.4689184 -0.0091400  0.0074234 
    1   118     4  1.4608581 -0.0115608  0.0072254 
    1   119     1  1.4689622 -0.0090536  0.0061399 
    1   119     2  1.4692014 -0.0092873  0.0091300 
    1   119     3  1.4605610 -0.0115836  0.0063499 
    1   119     4  1.4610861 -0.0117499  0.0095164 
    1   120     1  1.4741251 -0.0113855  0.0055984 
    1   120     2  1.4829871 -0.0087021  0.0059443 
    1   120     3  1.4745263 -0.0107776  0.0093235 
    1   120     4  1.4831886 -0.0081948  0.0093556 
    1   121     1  1.4737631 -0.0101920  0.0096307 
    1   121     2  1.4736497 -0.0107786  0.0066629 
    1   121     3  1.4821944 -0.0076139  0.0101031 
    1   121     4  1.4820266 -0.0082324  0.0070507 
