Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:38:16
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node   sigma_xx   sigma_yy     tau_xy
Units        MPa        MPa        MPa
  439 -0.2521639  0.0000271  0.0272193
  440 -0.2950120  0.0000168  0.0214490
  441 -0.3269562  0.0000104  0.0149789
  442 -0.3339288  1.16e-006  0.0149821
  443 -0.3013502  6.53e-006  0.0214582
  444 -0.2689948  8.54e-006  0.0272203
  445 -0.2633716  0.0000268  0.0272183
  446 -0.3591004  0.0000159  0.0077845
  447 -0.3667413  7.42e-006  0.0077833
  448 -0.3809475 -0.0014376  0.0038866
  449 -0.3890507 -0.0014691  0.0038874
  450 -0.3743779  0.0000165  0.0077846
  451 -0.3408671  0.0000106  0.0149790
  452 -0.3971537 -0.0014988  0.0038867
  453 -0.4052571 -0.0015302  0.0038876
  454 -0.3820190  7.69e-006  0.0077835
  455 -0.3478404  1.06e-006  0.0149824
  456 -0.3075647  0.0000171  0.0214489
  457 -0.3139053  6.46e-006  0.0214584
  458 -0.2802025  8.15e-006  0.0272205
  459 -0.2745788  0.0000271  0.0272179
  460 -0.3201172  0.0000176  0.0214493
  461 -0.3547781  0.0000110  0.0149794
  462 -0.3617522  1.07e-006  0.0149828
  463 -0.3264604  6.66e-006  0.0214589
  464 -0.2914102  8.49e-006  0.0272210
  465 -0.2857856  0.0000279  0.0272184
  466 -0.3896557  0.0000171  0.0077849
  467 -0.3972971  7.98e-006  0.0077838
  468 -0.4133603 -0.0015599  0.0038869
  469 -0.4214641 -0.0015914  0.0038877
  470 -0.4049339  0.0000178  0.0077852
  471 -0.3686893  0.0000114  0.0149798
  472 -0.4295677 -0.0016210  0.0038870
  473 -0.4376718 -0.0016526  0.0038879
  474 -0.4125757  8.29e-006  0.0077841
  475 -0.3756642  1.11e-006  0.0149833
  476 -0.3326697  0.0000182  0.0214499
  477 -0.3390156  6.86e-006  0.0214596
  478 -0.3026177  8.56e-006  0.0272217
  479 -0.2969924  0.0000289  0.0272189
  480 -0.3452225  0.0000189  0.0214506
  481 -0.3826008  0.0000118  0.0149804
  482 -0.3895766  1.18e-006  0.0149839
  483 -0.3515710  7.20e-006  0.0214602
  484 -0.3138255  9.15e-006  0.0272224
  485 -0.3081993  0.0000300  0.0272198
  486 -0.4202127  0.0000185  0.0077855
  487 -0.4278548  8.61e-006  0.0077844
  488 -0.4457757 -0.0016822  0.0038872
  489 -0.4538802 -0.0017138  0.0038880
  490 -0.4354919  0.0000191  0.0077857
  491 -0.3965126  0.0000123  0.0149809
  492 -0.4619843 -0.0017433  0.0038873
  493 -0.4700891 -0.0017750  0.0038882
  494 -0.4431344  8.93e-006  0.0077847
  495 -0.4034894  1.24e-006  0.0149843
  496 -0.3577754  0.0000197  0.0214512
  497 -0.3641267  7.45e-006  0.0214609
  498 -0.3250332  9.30e-006  0.0272231
  499 -0.3194062  0.0000311  0.0272203
  500 -0.3703286  0.0000204  0.0214519
  501 -0.4104249  0.0000127  0.0149813
  502 -0.4174025  1.31e-006  0.0149848
  503 -0.3766826  7.79e-006  0.0214615
  504 -0.3362412  9.91e-006  0.0272238
  505 -0.3306132  0.0000323  0.0272212
  506 -0.4507717  0.0000198  0.0077860
  507 -0.4584146  9.24e-006  0.0077849
  508 -0.4781936 -0.0018045  0.0038875
  509 -0.4862987 -0.0018362  0.0038883
  510 -0.4660520  0.0000205  0.0077863
  511 -0.4243375  0.0000132  0.0149818
  512 -0.4944034 -0.0018657  0.0038876
  513 -0.5025089 -0.0018974  0.0038884
  514 -0.4736952  9.55e-006  0.0077852
  515 -0.4313160  1.34e-006  0.0149853
  516 -0.3828821  0.0000211  0.0214525
  517 -0.3892387  8.00e-006  0.0214622
  518 -0.3474492  0.0000100  0.0272246
  519 -0.3418204  0.0000334  0.0272218
  520 -0.3954357  0.0000218  0.0214532
  521 -0.4382505  0.0000136  0.0149823
  522 -0.4452299  1.39e-006  0.0149858
  523 -0.4017951  8.31e-006  0.0214628
  524 -0.3586575  0.0000106  0.0272253
  525 -0.3530277  0.0000345  0.0272227
  526 -0.4813328  0.0000212  0.0077865
  527 -0.4889763  9.86e-006  0.0077855
  528 -0.5106139 -0.0019268  0.0038877
  529 -0.5187196 -0.0019586  0.0038886
  530 -0.4966142  0.0000218  0.0077868
  531 -0.4521639  0.0000140  0.0149828
  532 -0.5268249 -0.0019880  0.0038879
  533 -0.5349310 -0.0020198  0.0038887
  534 -0.5042580  0.0000102  0.0077858
  535 -0.4591442  1.42e-006  0.0149863
  536 -0.4079897  0.0000225  0.0214538
  537 -0.4143517  8.51e-006  0.0214635
  538 -0.3698657  0.0000107  0.0272261
  539 -0.3642351  0.0000356  0.0272233
