          x          y   sigma_xx   sigma_yy   sigma_xy
  1.8125000  0.2631000 -0.2196452  0.0000348  0.0215004
  1.8125000  0.2753000 -0.2434332  0.0000190  0.0150150
  1.8000000  0.2753000 -0.2504168  0.0000100  0.0150096
  1.8000000  0.2630000 -0.2259806  0.0000231  0.0214977
  1.8000000  0.2509000 -0.2017175  0.0000360  0.0272693
  1.8125000  0.2509000 -0.1960900  0.0000563  0.0272815
  1.8125000  0.2876000 -0.2673786  0.0000159  0.0078030
  1.8000000  0.2876000 -0.2750353  0.0000088  0.0077972
  1.8125000  0.3000000 -0.2836581 -0.0010701  0.0038956
  1.8000000  0.3000000 -0.2917776 -0.0011015  0.0038941
  1.7875000  0.2876000 -0.2826848  0.0000150  0.0077948
  1.7875000  0.2753000 -0.2573712  0.0000153  0.0149994
  1.7875000  0.3000000 -0.2998925 -0.0011316  0.0038915
  1.7750000  0.3000000 -0.3080044 -0.0011630  0.0038909
  1.7750000  0.2876000 -0.2903344  0.0000079  0.0077907
  1.7750000  0.2753000 -0.2643492  0.0000066  0.0149971
  1.7875000  0.2631000 -0.2322206  0.0000275  0.0214787
  1.7750000  0.2630000 -0.2385537  0.0000165  0.0214803
  1.7750000  0.2509000 -0.2129386  0.0000253  0.0272483
  1.7875000  0.2509000 -0.2073138  0.0000443  0.0272552
  1.7625000  0.2631000 -0.2447870  0.0000225  0.0214649
  1.7625000  0.2753000 -0.2712978  0.0000129  0.0149896
  1.7500000  0.2753000 -0.2782724  0.0000043  0.0149896
  1.7500000  0.2630000 -0.2511194  0.0000122  0.0214696
  1.7500000  0.2509000 -0.2241547  0.0000182  0.0272350
  1.7625000  0.2509000 -0.2185314  0.0000364  0.0272385
  1.7625000  0.2876000 -0.2979780  0.0000147  0.0077897
  1.7500000  0.2876000 -0.3056232  0.0000073  0.0077869
  1.7625000  0.3000000 -0.3161133 -0.0011929  0.0038891
  1.7500000  0.3000000 -0.3242207 -0.0012243  0.0038890
  1.7375000  0.2876000 -0.3132633  0.0000147  0.0077868
  1.7375000  0.2753000 -0.2852172  0.0000114  0.0149839
  1.7375000  0.3000000 -0.3323262 -0.0012542  0.0038877
  1.7250000  0.3000000 -0.3404311 -0.0012855  0.0038880
  1.7250000  0.2876000 -0.3209061  0.0000071  0.0077847
  1.7250000  0.2753000 -0.2921900  0.0000028  0.0149853
  1.7375000  0.2631000 -0.2573475  0.0000195  0.0214566
  1.7250000  0.2630000 -0.2636803  0.0000094  0.0214633
  1.7250000  0.2509000 -0.2353672  0.0000134  0.0272272
  1.7375000  0.2509000 -0.2297447  0.0000313  0.0272282
  1.7125000  0.2631000 -0.2699042  0.0000177  0.0214521
  1.7125000  0.2753000 -0.2991322  0.0000107  0.0149808
  1.7000000  0.2753000 -0.3061044  0.0000019  0.0149831
  1.7000000  0.2630000 -0.2762383  0.0000078  0.0214600
  1.7000000  0.2509000 -0.2465776  0.0000108  0.0272230
  1.7125000  0.2509000 -0.2409552  0.0000284  0.0272225
  1.7125000  0.2876000 -0.3285442  0.0000149  0.0077853
  1.7000000  0.2876000 -0.3361857  0.0000071  0.0077837
  1.7125000  0.3000000 -0.3485348 -0.0013154  0.0038870
